 accipiter nisus
 aegithalos caudatus
 alca torda
 alectoris rufa
 anas clypeata
 anas crecca
 anas penelope
 anas strepera
 anser anser
 anser brachyrynchus
 anus platyrhynchos
 ardea cinerea
 aythya ferina
 aythya fuligula
 aythya marila
 botaurus stellaris
 branta bernicla
 branta canadensis
 bucephala clangula
 carduelis chloris
 carduelis chloris
 circus cyaneus
 clangula hyemalis
 columba palumbus
 corvus corax
 corvus corax
 corvus cornix
 corvus frugilegus
 corvus monedula
 coturnix coturnix
 crex crex
 cygnus cygnus
 cygnus olor
 erithacus rubecula
 falco columbarius
 falco peregrinus
 falco tinnunculus
 fratercula arctica
 fringilla coelebs
 fulica atra
 fulmarus glacialis
 gallinago gallinago
 gavia arctica
 gavia immer
 gavia stellata
 haematopus ostralegus
 haliaeetus albicilla
 hirundo rustica
 hydrobates pelagicus
 lagopus lagopus scoticus
 larsus argentatus
 larsus marinus
 melanitta fusca
 melanitta nigra
 mergus merganser
 mergus serrator
 miliaria calandra
 morus bassanus
 motacilla alba yarrellii
 motacilla cinerea
 numenius arguata
 oxyura jamaicensis
 parus ater
 parus caeruleus
 parus major
 passer domesticus
 perdix perdix
 phalacrocorax aristotelis
 phalacrocorax carbo
 phasianus colchicus
 phylloscopus trochilus
 phyrocorrax phyrocorrax
 pica pica
 podiceps auritus
 prunella modularis
 puffinus puffinus
 rallus aquaticus
 regulus regulus
 scolopax rusticola
 somateria mollissima
 streptopelia decaocto
 sturnus vulgaris
 tachybaptus ruficollis
 tadorna tadorna
 tetrao tetrix†
 troglodytes troglodytes
 turdus merula
 turdus philomelos
 tyto alba
